TIME,Roll (deg),Pitch (deg),Yaw (deg),,Adjusted time,Pitch with first 40sec neglected
323.23956,8.388637317,24.31567785,-10.79065765,,32.280564,17.21737422
323.259803,8.394819995,24.13648018,-10.46146,,32.29956,17.09890848
323.279738,8.399790077,23.95755722,-10.13840465,,32.31962,16.97621423
323.299655,8.376272515,23.77441661,-9.80681137,,32.342825,16.91822066
323.319692,8.351348393,23.58997811,-9.472828137,,32.361986,16.87350734
323.34135,8.339797426,23.36574595,-9.056859299,,32.380569,16.85628406
323.35975,8.330672931,23.17413156,-8.701004001,,32.39986,16.8407926
323.379622,8.311010256,22.97485,-8.26173275,,32.41967,16.83532731
323.399267,8.290861538,22.7784,-7.823498134,,32.440005,16.83027927
323.419367,8.285249371,22.6227305,-7.339198033,,32.462643,16.78240019
323.439649,8.280246658,22.46764639,-6.848932136,,32.480723,16.74239625
323.459969,8.275205003,22.37848506,-6.326080034,,32.499436,16.69429564
323.479924,8.270252407,22.29429093,-5.811010045,,32.519504,16.64227096
323.499443,8.279368338,22.26189498,-5.316342751,,32.542507,16.60896053
323.51927,8.28940758,22.23177726,-4.814380676,,32.562016,16.58159357
323.54116,8.259179661,22.08103503,-4.332728039,,32.580517,16.53386067
323.559759,8.231514243,21.94731884,-3.926968563,,32.600024,16.48202997
323.579515,8.125578297,21.71217083,-3.596241004,,32.619625,16.48467072
323.599493,8.014246416,21.46926491,-3.267305901,,32.639933,16.48970617
323.619677,7.895045747,21.21093245,-2.981743322,,32.662182,16.47432038
323.63981,7.775883252,20.95274705,-2.698732397,,32.680573,16.46063049
323.659856,7.655061586,20.75322508,-2.445304643,,32.699579,16.42770585
323.679756,7.53500729,20.55813685,-2.195191527,,32.719514,16.39225325
323.699731,7.428713911,20.42459818,-1.996656937,,32.742877,16.37960726
323.719447,7.324406963,20.29545624,-1.802944033,,32.762073,16.37057852
323.741098,7.248192569,20.20280526,-1.6254993,,32.78074,16.29519118
323.759795,7.183701094,20.12449419,-1.47348368,,32.799783,16.21349225
323.779643,7.080836268,20.09638959,-1.327819281,,32.81938,16.1491924
323.799465,6.976142606,20.07146253,-1.183242319,,32.839842,16.08294925
323.819523,6.842602073,20.04168935,-1.066235513,,32.862055,15.94965195
323.839627,6.707052566,20.01156724,-0.950767414,,32.880599,15.83618024
323.859704,6.58062351,20.04820048,-0.815833064,,32.899915,15.75009603
323.879592,6.455871283,20.08812119,-0.681100659,,32.919522,15.66451331
323.899728,6.363082843,20.21071827,-0.549212668,,32.942611,15.61424168
323.919421,6.273933907,20.33453624,-0.420441983,,32.962166,15.57367021
323.941158,6.203757234,20.52344151,-0.272082946,,32.980614,15.49756331
323.960217,6.143256904,20.69098088,-0.141774544,,32.999963,15.41353085
323.9797,6.073884809,20.87001049,-0.02614186,,33.019583,15.39120287
323.999435,6.003191669,21.05179285,0.089996871,,33.039988,15.37080858
324.019423,5.909330051,21.2556562,0.200226583,,33.062052,15.33350536
324.039576,5.813646359,21.46213154,0.311018227,,33.080696,15.30149378
324.059686,5.733287889,21.65219126,0.473459057,,33.099499,15.35503875
324.079809,5.653478261,21.84173913,0.638066414,,33.119507,15.41644594
324.099793,5.693206784,21.99882337,0.861274247,,33.142771,15.44609979
324.119509,5.737790704,22.1523902,1.084193845,,33.161901,15.46868592
324.141347,5.905072206,22.20126805,1.327373116,,33.180824,15.42760197
324.15973,6.050536103,22.23763403,1.531931722,,33.200017,15.3819116
324.179609,6.340247375,22.22100018,1.782738102,,33.219633,15.3145586
324.199414,6.637324893,22.20085933,2.034498711,,33.240287,15.24271325
324.219375,6.934944847,22.13351287,2.306439771,,33.26219,15.16174348
324.239834,7.239908576,22.06235467,2.585989855,,33.280567,15.09366034
324.259996,7.520584734,21.98752195,2.885152543,,33.299623,15.06225572
324.279922,7.797293558,21.91340351,3.181626282,,33.319571,15.03162461
324.299533,8.042029388,21.7568606,3.487597356,,33.342634,14.99929392
324.319421,8.288852264,21.59395751,3.798594179,,33.362278,14.97188241
324.34119,8.575721746,21.45465955,4.201261666,,33.380725,14.97
